date,currency,category,score_precise,coverage
2023-01-17,CHF,growth,-2.0,1
2023-01-17,CHF,inflation,-2.0,1
2023-01-17,CHF,labour,0.0,0
2023-01-18,USD,growth,-1.0,3
2023-01-18,USD,inflation,-0.6666666666666666,3
2023-01-18,USD,labour,0.8333333333333334,6
2023-01-18,EUR,growth,1.0,2
2023-01-18,EUR,inflation,-0.5,2
2023-01-18,EUR,labour,0.0,0
2023-01-18,GBP,growth,0.6666666666666666,3
2023-01-18,GBP,inflation,0.0,2
2023-01-18,GBP,labour,0.3333333333333333,3
2023-01-18,JPY,growth,0.0,0
2023-01-18,JPY,inflation,0.0,0
2023-01-18,JPY,labour,-2.0,1
2023-01-18,AUD,growth,2.0,1
2023-01-18,AUD,inflation,0.0,1
2023-01-18,AUD,labour,0.0,0
2023-01-18,NZD,growth,0.0,0
2023-01-18,NZD,inflation,0.0,0
2023-01-18,NZD,labour,0.0,0
2023-01-18,CAD,growth,0.0,0
2023-01-18,CAD,inflation,-0.3333333333333333,3
2023-01-18,CAD,labour,1.5,2
2023-01-18,CHF,growth,-2.0,1
2023-01-18,CHF,inflation,-2.0,1
2023-01-18,CHF,labour,0.0,0
2023-01-19,USD,growth,-1.0,3
2023-01-19,USD,inflation,-0.6666666666666666,3
2023-01-19,USD,labour,1.0,6
2023-01-19,EUR,growth,1.0,2
2023-01-19,EUR,inflation,-0.5,2
2023-01-19,EUR,labour,0.0,0
2023-01-19,GBP,growth,0.6666666666666666,3
2023-01-19,GBP,inflation,0.0,2
2023-01-19,GBP,labour,0.3333333333333333,3
2023-01-19,JPY,growth,0.0,0
2023-01-19,JPY,inflation,0.0,1
2023-01-19,JPY,labour,-2.0,1
2023-01-19,AUD,growth,2.0,1
2023-01-19,AUD,inflation,0.0,1
2023-01-19,AUD,labour,-1.5,2
2023-01-19,NZD,growth,0.0,0
2023-01-19,NZD,inflation,0.0,0
2023-01-19,NZD,labour,0.0,0
2023-01-19,CAD,growth,0.0,0
2023-01-19,CAD,inflation,-0.3333333333333333,3
2023-01-19,CAD,labour,1.5,2
2023-01-19,CHF,growth,-2.0,1
2023-01-19,CHF,inflation,-2.0,1
2023-01-19,CHF,labour,0.0,0
2023-01-20,USD,growth,-1.0,3
2023-01-20,USD,inflation,-0.6666666666666666,3
2023-01-20,USD,labour,1.0,6
2023-01-20,EUR,growth,1.0,2
2023-01-20,EUR,inflation,-0.5,2
2023-01-20,EUR,labour,0.0,0
2023-01-20,GBP,growth,0.0,4
2023-01-20,GBP,inflation,0.0,2
2023-01-20,GBP,labour,0.3333333333333333,3
2023-01-20,JPY,growth,0.0,0
2023-01-20,JPY,inflation,0.0,1
2023-01-20,JPY,labour,-2.0,1
2023-01-20,AUD,growth,2.0,1
2023-01-20,AUD,inflation,0.0,1
2023-01-20,AUD,labour,-1.5,2
2023-01-20,NZD,growth,0.0,0
2023-01-20,NZD,inflation,0.0,0
2023-01-20,NZD,labour,0.0,0
2023-01-20,CAD,growth,2.0,1
2023-01-20,CAD,inflation,-0.3333333333333333,3
2023-01-20,CAD,labour,1.5,2
2023-01-20,CHF,growth,-2.0,1
2023-01-20,CHF,inflation,-2.0,1
2023-01-20,CHF,labour,0.0,0
2023-01-21,USD,growth,-1.0,3
2023-01-21,USD,inflation,-0.6666666666666666,3
2023-01-21,USD,labour,1.0,6
2023-01-21,EUR,growth,1.0,2
2023-01-21,EUR,inflation,-0.5,2
2023-01-21,EUR,labour,0.0,0
2023-01-21,GBP,growth,0.0,4
2023-01-21,GBP,inflation,0.0,2
2023-01-21,GBP,labour,0.3333333333333333,3
2023-01-21,JPY,growth,0.0,0
2023-01-21,JPY,inflation,0.0,1
2023-01-21,JPY,labour,-2.0,1
2023-01-21,AUD,growth,2.0,1
2023-01-21,AUD,inflation,0.0,1
2023-01-21,AUD,labour,-1.5,2
2023-01-21,NZD,growth,0.0,0
2023-01-21,NZD,inflation,0.0,0
2023-01-21,NZD,labour,0.0,0
2023-01-21,CAD,growth,2.0,1
2023-01-21,CAD,inflation,-0.3333333333333333,3
2023-01-21,CAD,labour,1.5,2
2023-01-21,CHF,growth,-2.0,1
2023-01-21,CHF,inflation,-2.0,1
2023-01-21,CHF,labour,0.0,0
2023-01-22,USD,growth,-1.0,3
2023-01-22,USD,inflation,-0.6666666666666666,3
2023-01-22,USD,labour,1.0,6
2023-01-22,EUR,growth,1.0,2
2023-01-22,EUR,inflation,-0.5,2
2023-01-22,EUR,labour,0.0,0
2023-01-22,GBP,growth,0.0,4
2023-01-22,GBP,inflation,0.0,2
2023-01-22,GBP,labour,0.3333333333333333,3
2023-01-22,JPY,growth,0.0,0
2023-01-22,JPY,inflation,0.0,1
2023-01-22,JPY,labour,-2.0,1
2023-01-22,AUD,growth,2.0,1
2023-01-22,AUD,inflation,0.0,1
2023-01-22,AUD,labour,-1.5,2
2023-01-22,NZD,growth,0.0,0
2023-01-22,NZD,inflation,0.0,0
2023-01-22,NZD,labour,0.0,0
2023-01-22,CAD,growth,2.0,1
2023-01-22,CAD,inflation,-0.3333333333333333,3
2023-01-22,CAD,labour,1.5,2
2023-01-22,CHF,growth,-2.0,1
2023-01-22,CHF,inflation,-2.0,1
2023-01-22,CHF,labour,0.0,0
2023-01-23,USD,growth,-1.0,3
2023-01-23,USD,inflation,-0.6666666666666666,3
2023-01-23,USD,labour,1.0,6
2023-01-23,EUR,growth,1.0,2
2023-01-23,EUR,inflation,-0.5,2
2023-01-23,EUR,labour,0.0,0
2023-01-23,GBP,growth,0.0,4
2023-01-23,GBP,inflation,0.0,2
2023-01-23,GBP,labour,0.3333333333333333,3
2023-01-23,JPY,growth,0.0,0
2023-01-23,JPY,inflation,0.0,1
2023-01-23,JPY,labour,-2.0,1
2023-01-23,AUD,growth,2.0,1
2023-01-23,AUD,inflation,0.0,1
2023-01-23,AUD,labour,-1.5,2
2023-01-23,NZD,growth,0.0,0
2023-01-23,NZD,inflation,0.0,0
2023-01-23,NZD,labour,0.0,0
2023-01-23,CAD,growth,2.0,1
2023-01-23,CAD,inflation,-0.3333333333333333,3
2023-01-23,CAD,labour,1.5,2
2023-01-23,CHF,growth,-2.0,1
2023-01-23,CHF,inflation,-2.0,1
2023-01-23,CHF,labour,0.0,0
2023-01-24,USD,growth,-1.0,3
2023-01-24,USD,inflation,-0.6666666666666666,3
2023-01-24,USD,labour,1.0,6
2023-01-24,EUR,growth,1.0,2
2023-01-24,EUR,inflation,-0.5,2
2023-01-24,EUR,labour,0.0,0
2023-01-24,GBP,growth,0.0,4
2023-01-24,GBP,inflation,0.0,2
2023-01-24,GBP,labour,0.3333333333333333,3
2023-01-24,JPY,growth,0.0,0
2023-01-24,JPY,inflation,0.5,2
2023-01-24,JPY,labour,-2.0,1
2023-01-24,AUD,growth,2.0,1
2023-01-24,AUD,inflation,0.0,1
2023-01-24,AUD,labour,-1.5,2
2023-01-24,NZD,growth,0.0,0
2023-01-24,NZD,inflation,1.0,1
2023-01-24,NZD,labour,0.0,0
2023-01-24,CAD,growth,2.0,1
2023-01-24,CAD,inflation,-0.3333333333333333,3
2023-01-24,CAD,labour,1.5,2
2023-01-24,CHF,growth,-2.0,1
2023-01-24,CHF,inflation,-2.0,1
2023-01-24,CHF,labour,0.0,0
2023-01-25,USD,growth,-1.0,3
2023-01-25,USD,inflation,-0.6666666666666666,3
2023-01-25,USD,labour,1.0,6
2023-01-25,EUR,growth,1.0,2
2023-01-25,EUR,inflation,-0.5,2
2023-01-25,EUR,labour,0.0,0
2023-01-25,GBP,growth,0.0,4
2023-01-25,GBP,inflation,-0.6666666666666666,3
2023-01-25,GBP,labour,0.3333333333333333,3
2023-01-25,JPY,growth,0.0,0
2023-01-25,JPY,inflation,0.5,2
2023-01-25,JPY,labour,-2.0,1
2023-01-25,AUD,growth,2.0,1
2023-01-25,AUD,inflation,2.0,2
2023-01-25,AUD,labour,-1.5,2
2023-01-25,NZD,growth,0.0,0
2023-01-25,NZD,inflation,1.0,1
2023-01-25,NZD,labour,0.0,0
2023-01-25,CAD,growth,2.0,1
2023-01-25,CAD,inflation,-0.3333333333333333,3
2023-01-25,CAD,labour,1.5,2
