as_of,variant,symbol,cls,score,bias,r5,r15,r30
2023-05-08,V5.TS,EURUSD,fx,7.5,Very Bullish,,,
2023-05-08,V5.TS,GBPUSD,fx,7.5,Very Bullish,,,
2023-05-08,V5.TS,USDJPY,fx,-7.5,Very Bearish,,,
2023-05-08,V5.TS,USDCHF,fx,-7.5,Very Bearish,,,
2023-05-08,V5.TS,USDCAD,fx,-7.5,Very Bearish,,,
2023-05-08,V5.TS,AUDUSD,fx,7.5,Very Bullish,,,
2023-05-08,V5.TS,NZDUSD,fx,7.5,Very Bullish,,,
2023-05-08,V5.TS,FTSE100,cross-asset,10.0,Very Bullish,0.37661920565249973,0.3309736644898833,0.420096884701852
2023-05-08,V5.TS,GOLD,cross-asset,15.0,Very Bullish,,,
2023-05-08,V5.TS,SILVER,cross-asset,15.0,Very Bullish,,,
2023-05-08,V5.NOF,US-DOLLAR,single,5.0,Very Bullish,,,
2023-05-08,V5.NOF,EURUSD,fx,2.5,Bullish,,,
2023-05-08,V5.NOF,GBPUSD,fx,4.166666666666667,Very Bullish,,,
2023-05-08,V5.NOF,USDJPY,fx,-2.5,Bearish,,,
2023-05-08,V5.NOF,USDCHF,fx,-7.5,Very Bearish,,,
2023-05-08,V5.NOF,USDCAD,fx,-2.5,Bearish,,,
2023-05-08,V5.NOF,AUDUSD,fx,4.166666666666667,Very Bullish,,,
2023-05-08,V5.NOF,NZDUSD,fx,7.5,Very Bullish,,,
2023-05-08,V5.NOF,EURGBP,fx,-1.666666666666667,Bearish,,,
2023-05-08,V5.NOF,EURCHF,fx,-5.0,Very Bearish,,,
2023-05-08,V5.NOF,EURAUD,fx,-1.666666666666667,Bearish,,,
2023-05-08,V5.NOF,EURNZD,fx,-5.0,Very Bearish,,,
2023-05-08,V5.NOF,GBPJPY,fx,1.666666666666667,Bullish,,,
2023-05-08,V5.NOF,GBPCHF,fx,-3.333333333333333,Very Bearish,,,
2023-05-08,V5.NOF,GBPNZD,fx,-3.333333333333333,Very Bearish,,,
2023-05-08,V5.NOF,GBPCAD,fx,1.666666666666667,Bullish,,,
2023-05-08,V5.NOF,AUDJPY,fx,1.666666666666667,Bullish,,,
2023-05-08,V5.NOF,NZDJPY,fx,5.0,Very Bullish,,,
2023-05-08,V5.NOF,CHFJPY,fx,5.0,Very Bullish,,,
2023-05-08,V5.NOF,AUDNZD,fx,-3.333333333333333,Very Bearish,,,
2023-05-08,V5.NOF,AUDCAD,fx,1.666666666666667,Bullish,,,
2023-05-08,V5.NOF,AUDCHF,fx,-3.333333333333333,Very Bearish,,,
2023-05-08,V5.NOF,NZDCAD,fx,5.0,Very Bullish,,,
2023-05-08,V5.NOF,CADCHF,fx,-5.0,Very Bearish,,,
2023-05-08,V5.NOF,DJIA,cross-asset,-3.333333333333333,Bearish,,,
2023-05-08,V5.NOF,SP500,cross-asset,-3.333333333333333,Bearish,,,
2023-05-08,V5.NOF,NASDAQ,cross-asset,-3.333333333333333,Bearish,,,
2023-05-08,V5.NOF,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-08,V5.NOF,NIKKEI,cross-asset,-3.333333333333333,Bearish,,,
2023-05-08,V5.NOF,GOLD,cross-asset,2.7777777777777777,Bullish,,,
2023-05-08,V5.NOF,SILVER,cross-asset,2.7777777777777777,Bullish,,,
2023-05-08,V5.HALF,US-DOLLAR,single,2.638888888888889,Bullish,,,
2023-05-08,V5.HALF,GBPUSD,fx,3.076388888888889,Very Bullish,,,
2023-05-08,V5.HALF,USDJPY,fx,-2.0,Bearish,,,
2023-05-08,V5.HALF,USDCAD,fx,-1.4444444444444446,Bearish,,,
2023-05-08,V5.HALF,AUDUSD,fx,2.0,Bullish,,,
